program,address,size,current_name,provisional_name,owner,confidence,name_origin,authority,evidence
srext-jpegimporter,10001ce0,580,FUN_10001ce0,compress_first_pass,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jccoefct.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10001f30,486,compress_output,compress_output,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10002120,528,jinit_color_converter,jinit_color_converter,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10002360,221,FUN_10002360,rgb_ycc_start,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jccolor.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10002440,295,FUN_10002440,rgb_ycc_convert,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jccolor.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10002570,174,FUN_10002570,rgb_gray_convert,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and in-object order in jccolor.c
srext-jpegimporter,10002620,359,FUN_10002620,cmyk_ycck_convert,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jccolor.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10002790,103,FUN_10002790,grayscale_convert,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and in-object order in jccolor.c
srext-jpegimporter,10002800,147,FUN_10002800,jccolor_null_convert,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jccolor.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,100028a0,1,FUN_100028a0,null_method,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jccolor.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,100028b0,145,jinit_forward_dct,jinit_forward_dct,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10002950,505,FUN_10002950,start_pass_fdctmgr,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcdctmgr.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10002b50,409,FUN_10002b50,forward_DCT,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcdctmgr.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10002cf0,441,FUN_10002cf0,forward_DCT_float,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcdctmgr.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10002eb0,282,jpeg_make_c_derived_tbl,jpeg_make_c_derived_tbl,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10002fd0,558,jpeg_gen_optimal_table,jpeg_gen_optimal_table,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10003200,59,jinit_huff_encoder,jinit_huff_encoder,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10003240,396,FUN_10003240,start_pass_huff,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jchuff.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,100033d0,306,FUN_100033d0,encode_mcu_huff,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jchuff.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10003510,338,encode_one_block,encode_one_block,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10003670,198,emit_bits,emit_bits,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10003740,44,dump_buffer,dump_buffer,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10003770,140,emit_restart,emit_restart,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10003800,39,flush_bits,flush_bits,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10003830,127,FUN_10003830,finish_pass_huff,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jchuff.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,100038b0,220,FUN_100038b0,encode_mcu_gather,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jchuff.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10003990,160,htest_one_block,htest_one_block,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10003a30,264,FUN_10003a30,finish_pass_gather,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jchuff.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10003b40,183,jinit_compress_master,jinit_compress_master,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10003c00,135,jinit_c_main_controller,jinit_c_main_controller,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10003c90,78,FUN_10003c90,start_pass_main,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcmainct.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10003ce0,176,FUN_10003ce0,process_data_simple_main,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and in-object order in jcmainct.c
srext-jpegimporter,10003d90,97,jinit_marker_writer,jinit_marker_writer,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10003e00,79,FUN_10003e00,write_any_marker,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and in-object order in jcmarker.c
srext-jpegimporter,10003e50,60,emit_byte,emit_byte,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10003e90,32,emit_marker,emit_marker,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10003eb0,40,emit_2bytes,emit_2bytes,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10003ee0,59,FUN_10003ee0,write_file_header,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and in-object order in jcmarker.c
srext-jpegimporter,10003f20,151,emit_jfif_app0,emit_jfif_app0,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10003fc0,146,emit_adobe_app14,emit_adobe_app14,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10004060,246,FUN_10004060,write_frame_header,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and in-object order in jcmarker.c
srext-jpegimporter,10004160,201,emit_dqt,emit_dqt,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10004230,184,emit_sof,emit_sof,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,100042f0,190,FUN_100042f0,write_scan_header,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcmarker.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,100043b0,191,emit_dht,emit_dht,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10004470,1,FUN_10004470,emit_dac,ijg-jpeg-6,strong,original-source,source-backed,Exact one-byte stub and linked position in jcmarker.c
srext-jpegimporter,10004480,42,emit_dri,emit_dri,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,100044b0,221,emit_sos,emit_sos,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10004590,19,FUN_10004590,write_file_trailer,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcmarker.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,100045b0,128,FUN_100045b0,write_tables_only,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and in-object order in jcmarker.c
srext-jpegimporter,10004630,191,jinit_c_master_control,jinit_c_master_control,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,100046f0,461,initial_setup,initial_setup,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,100048c0,927,validate_script,validate_script,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10004c60,433,FUN_10004c60,prepare_for_pass,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and in-object order in jcmaster.c
srext-jpegimporter,10004e20,255,select_scan_parameters,select_scan_parameters,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10004f20,458,per_scan_setup,per_scan_setup,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,100050f0,43,FUN_100050f0,pass_startup,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and in-object order in jcmaster.c
srext-jpegimporter,10005120,120,FUN_10005120,finish_pass_master,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcmaster.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,100051a0,35,jpeg_abort,jpeg_abort,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,100051d0,31,jpeg_destroy,jpeg_destroy,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,100051f0,31,jpeg_alloc_quant_table,jpeg_alloc_quant_table,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10005210,31,jpeg_alloc_huff_table,jpeg_alloc_huff_table,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10005230,186,jpeg_add_quant_table,jpeg_add_quant_table,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,100052f0,52,jpeg_set_linear_quality,jpeg_set_linear_quality,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10005330,56,jpeg_quality_scaling,jpeg_quality_scaling,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10005370,30,jpeg_set_quality,jpeg_set_quality,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10005390,239,jpeg_set_defaults,jpeg_set_defaults,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10005480,90,std_huff_tables,std_huff_tables,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,100054e0,93,add_huff_table,add_huff_table,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10005540,95,jpeg_default_colorspace,jpeg_default_colorspace,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,100055c0,716,jpeg_set_colorspace,jpeg_set_colorspace,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,100058b0,384,FUN_100058b0,jpeg_simple_progression,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcparam.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10005a30,49,FUN_10005a30,fill_a_scan,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcparam.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10005a70,74,FUN_10005a70,fill_scans,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcparam.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10005ac0,97,FUN_10005ac0,fill_dc_scans,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcparam.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10005b30,56,jinit_phuff_encoder,jinit_phuff_encoder,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10005b70,454,FUN_10005b70,start_pass_phuff,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcphuff.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10005d40,323,FUN_10005d40,encode_mcu_DC_first,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcphuff.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10005e90,213,emit_bits,emit_bits,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10005f70,60,dump_buffer,dump_buffer,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10005fb0,70,emit_symbol,emit_symbol,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10006000,165,emit_restart,emit_restart,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,100060b0,28,flush_bits,flush_bits,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,100060d0,95,emit_eobrun,emit_eobrun,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10006130,49,emit_buffered_bits,emit_buffered_bits,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10006170,443,FUN_10006170,encode_mcu_AC_first,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcphuff.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10006330,190,FUN_10006330,encode_mcu_DC_refine,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and in-object order in jcphuff.c
srext-jpegimporter,100063f0,549,FUN_100063f0,encode_mcu_AC_refine,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcphuff.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10006620,64,FUN_10006620,finish_pass_phuff,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcphuff.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10006660,235,FUN_10006660,finish_pass_gather_phuff,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcphuff.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10006750,172,jinit_c_prep_controller,jinit_c_prep_controller,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10006800,71,FUN_10006800,start_pass_prep,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcprepct.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10006850,381,FUN_10006850,pre_process_data,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcprepct.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,100069d0,52,expand_bottom_edge,expand_bottom_edge,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10006a10,576,FUN_10006a10,pre_process_context,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcprepct.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10006c50,292,create_context_buffer,create_context_buffer,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10006d80,387,jinit_downsampler,jinit_downsampler,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10006f10,1,FUN_10006f10,start_pass_downsample,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcsample.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10006f20,134,FUN_10006f20,sep_downsample,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcsample.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10006fb0,300,FUN_10006fb0,int_downsample,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcsample.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,100070e0,92,expand_right_edge,expand_right_edge,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10007140,70,FUN_10007140,fullsize_downsample,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and in-object order in jcsample.c
srext-jpegimporter,10007190,167,FUN_10007190,h2v1_downsample,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcsample.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10007240,218,FUN_10007240,h2v2_downsample,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcsample.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10007320,745,FUN_10007320,h2v2_smooth_downsample,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcsample.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10007610,415,FUN_10007610,fullsize_smooth_downsample,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcsample.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,100077b0,90,FUN_100077b0,jpeg_write_coefficients,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jctrans.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10007810,495,FUN_10007810,jpeg_copy_critical_parameters,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jctrans.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10007a00,114,FUN_10007a00,transencode_master_selection,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jctrans.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10007a80,101,FUN_10007a80,transencode_coef_controller,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jctrans.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10007af0,57,FUN_10007af0,jctrans_start_pass_coef,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jctrans.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10007b30,78,FUN_10007b30,jctrans_start_iMCU_row,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jctrans.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10007b80,640,FUN_10007b80,jctrans_compress_output,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jctrans.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10007e00,118,jpeg_create_decompress,jpeg_create_decompress,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10007e80,12,FUN_10007e80,jpeg_destroy_decompress,ijg-jpeg-6,strong,original-source,source-backed,Identical destroy body resolved to jdapimin.c by position between jpeg_create_decompress and jpeg_read_header
srext-jpegimporter,10007e90,12,FUN_10007e90,jpeg_abort_decompress,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jdapimin.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10007ea0,93,FUN_10007ea0,jpeg_set_marker_processor,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jdapimin.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10007f00,112,jpeg_read_header,jpeg_read_header,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10007f70,156,jpeg_consume_input,jpeg_consume_input,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10008030,410,default_decompress_parms,default_decompress_parms,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,100081d0,69,FUN_100081d0,jpeg_input_complete,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jdapimin.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10008220,69,FUN_10008220,jpeg_has_multiple_scans,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jdapimin.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10008270,192,jpeg_finish_decompress,jpeg_finish_decompress,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10008330,228,jpeg_start_decompress,jpeg_start_decompress,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10008420,203,output_pass_setup,output_pass_setup,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,100084f0,160,jpeg_read_scanlines,jpeg_read_scanlines,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10008590,188,FUN_10008590,jpeg_read_raw_data,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10008650,102,FUN_10008650,jpeg_start_output,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jdapistd.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,100086c0,156,FUN_100086c0,jpeg_finish_output,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jdapistd.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10008760,61,jpeg_stdio_dest,jpeg_stdio_dest,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,100087a0,38,FUN_100087a0,init_destination,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jdatadst.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,100087d0,76,FUN_100087d0,empty_output_buffer,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jdatadst.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10008820,62,FUN_10008820,term_destination,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jdatadst.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10008860,108,jpeg_stdio_src,jpeg_stdio_src,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,100088d0,15,FUN_100088d0,init_source,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jdatasrc.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,100088e0,121,FUN_100088e0,fill_input_buffer,ijg-jpeg-6,strong,original-source,source-backed,Body size and in-object order identify jdatasrc.c fill_input_buffer after jpeg_stdio_src
srext-jpegimporter,10008960,61,FUN_10008960,skip_input_data,ijg-jpeg-6,strong,original-source,source-backed,Body size and in-object order identify jdatasrc.c skip_input_data
srext-jpegimporter,100089a0,1,FUN_100089a0,term_source,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jdatasrc.c.obj; identity and ownership come from its VC6 PDB symbol
