evidence_id,program,address,origin,kind,reference,details
function-evidence:wiz8:00517ce0:reccmp,wiz8,00517ce0,reccmp,exact-compile,match:cd8eb7eaf380ec89,VC6 SP5 O2 G6 MD body is byte-exact with both normalization bodies inlined; Local Code\UtilityFunctions.cpp
function-evidence:wiz8:00518310:runtime-string,wiz8,00518310,runtime-string,identity-review,name_origin=original-runtime-string,The retained RPCPtrToPCSlot diagnostic states the original function name
function-evidence:wiz8:00518310:reccmp,wiz8,00518310,reccmp,exact-compile,match:17f57565c56f666a,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\UtilityFunctions.cpp
function-evidence:wiz8:005184b0:canonical-behavior,wiz8,005184b0,canonical-behavior,identity-review,name_origin=descriptive,The complete body frees every nonnull string-table entry then the table and clears the global pointer and count
function-evidence:wiz8:005184b0:reccmp,wiz8,005184b0,reccmp,exact-compile,match:68b9f811ce9418f4,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\UtilityFunctions.cpp
function-evidence:wiz8:00518b20:canonical-behavior,wiz8,00518b20,canonical-behavior,identity-review,name_origin=descriptive,The complete body returns whether the string-table state global is nonzero
function-evidence:wiz8:00518b20:reccmp,wiz8,00518b20,reccmp,exact-compile,match:6f900695826e94fc,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\UtilityFunctions.cpp
function-evidence:wiz8:004f21b0:canonical-behavior,wiz8,004f21b0,canonical-behavior,identity-review,name_origin=descriptive,The complete body conditionally clears both region selection globals and returns whether it did so
function-evidence:wiz8:004f21b0:reccmp,wiz8,004f21b0,reccmp,exact-compile,match:104b4a195b773197,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\RegionManager.cpp
function-evidence:wiz8:004f21d0:canonical-behavior,wiz8,004f21d0,canonical-behavior,identity-review,name_origin=descriptive,The complete body returns the forced-region index global
function-evidence:wiz8:004f21d0:reccmp,wiz8,004f21d0,reccmp,exact-compile,match:76811197299fd721,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\RegionManager.cpp
function-evidence:wiz8:004f21e0:controls-caller,wiz8,004f21e0,controls-caller,identity-review,name_origin=descriptive,Controls::EnableRegionSet calls this branch only when its enable argument is true
function-evidence:wiz8:004f21e0:reccmp,wiz8,004f21e0,reccmp,exact-compile,match:efdaf4ccb57e734f,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\RegionManager.cpp
function-evidence:wiz8:004f2220:controls-caller,wiz8,004f2220,controls-caller,identity-review,name_origin=descriptive,Controls::EnableRegionSet calls this branch only when its enable argument is false
function-evidence:wiz8:004f2220:reccmp,wiz8,004f2220,reccmp,exact-compile,match:416cafdab2bb2949,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\RegionManager.cpp
function-evidence:wiz8:004f2380:canonical-behavior,wiz8,004f2380,canonical-behavior,identity-review,name_origin=descriptive,The complete checked body clears exactly flags mask 0x0c in a 0x1c-byte region record
function-evidence:wiz8:004f2380:reccmp,wiz8,004f2380,reccmp,exact-compile,match:d4b20afcc6bd689d,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\RegionManager.cpp
function-evidence:wiz8:004f23d0:canonical-behavior,wiz8,004f23d0,canonical-behavior,identity-review,name_origin=descriptive,The complete checked body clears flags mask 0x0c then selects bit 4 in a 0x1c-byte region record
function-evidence:wiz8:004f23d0:reccmp,wiz8,004f23d0,reccmp,exact-compile,match:ae176df927426d5f,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\RegionManager.cpp
function-evidence:wiz8:004f2550:canonical-behavior,wiz8,004f2550,canonical-behavior,identity-review,name_origin=descriptive,The complete checked two-argument body returns whether a caller mask intersects the region flags
function-evidence:wiz8:004f2550:reccmp,wiz8,004f2550,reccmp,exact-compile,match:977bfbf2fb8adf72,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\RegionManager.cpp
function-evidence:wiz8:004f2260:canonical-behavior,wiz8,004f2260,canonical-behavior,identity-review,name_origin=descriptive,The complete checked body clears mode mask 0x0c over one region set's inclusive first-to-last range
function-evidence:wiz8:004f2260:reccmp,wiz8,004f2260,reccmp,exact-compile,match:e5e99490b0c1bd97,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\RegionManager.cpp
function-evidence:wiz8:004f22f0:canonical-behavior,wiz8,004f22f0,canonical-behavior,identity-review,name_origin=descriptive,The complete checked body selects mode 4 over one region set's inclusive first-to-last range
function-evidence:wiz8:004f22f0:reccmp,wiz8,004f22f0,reccmp,exact-compile,match:d684137dbbfe3d35,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\RegionManager.cpp
function-evidence:wiz8:004f2420:canonical-behavior,wiz8,004f2420,canonical-behavior,identity-review,name_origin=descriptive,The complete checked body stores four ordered 16-bit geometry values in one validated region
function-evidence:wiz8:004f2420:reccmp,wiz8,004f2420,reccmp,exact-compile,match:365b34a55db0bc9c,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\RegionManager.cpp
function-evidence:wiz8:004f2490:canonical-behavior,wiz8,004f2490,canonical-behavior,identity-review,name_origin=descriptive,The complete checked switch performs rectangular containment for mode 1 and circular containment for mode 2
function-evidence:wiz8:004f2490:reccmp,wiz8,004f2490,reccmp,exact-compile,match:a89c069cc92d56f2,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\RegionManager.cpp
function-evidence:wiz8:004f2880:canonical-behavior,wiz8,004f2880,canonical-behavior,identity-review,name_origin=descriptive,The complete checked body returns the next region-set index and initializes its enabled and inclusive-range fields
function-evidence:wiz8:004f2880:reccmp,wiz8,004f2880,reccmp,exact-compile,match:bce3b0690e32ae2c,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\RegionManager.cpp
function-evidence:wiz8:004f28e0:canonical-behavior,wiz8,004f28e0,canonical-behavior,identity-review,name_origin=descriptive,The complete checked body validates a region set and resets only its inclusive-range end marker
function-evidence:wiz8:004f28e0:reccmp,wiz8,004f28e0,reccmp,exact-compile,match:cd6e22f0973e4fec,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\RegionManager.cpp
function-evidence:wiz8:004f2920:canonical-behavior,wiz8,004f2920,canonical-behavior,identity-review,name_origin=descriptive,The complete checked body advances a set's inclusive end and copies region zero when consuming a new global slot
function-evidence:wiz8:004f2920:reccmp,wiz8,004f2920,reccmp,exact-compile,match:106a77df2c135b58,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\RegionManager.cpp
function-evidence:wiz8:004f29c0:reviewed-callers,wiz8,004f29c0,reviewed-callers,identity-review,name_origin=descriptive,Callers pass local code entry points and small per-control IDs to the two stored fields
function-evidence:wiz8:004f29c0:reccmp,wiz8,004f29c0,reccmp,exact-compile,match:e87cb4f407f91138,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\RegionManager.cpp
function-evidence:wiz8:004f2a10:reviewed-callers,wiz8,004f2a10,reviewed-callers,identity-review,name_origin=descriptive,Control constructors pass their owning manager or control object to the stored pointer field
function-evidence:wiz8:004f2a10:reccmp,wiz8,004f2a10,reccmp,exact-compile,match:0bd1209dbbd51eb1,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\RegionManager.cpp
function-evidence:wiz8:004f2a30:reviewed-callers,wiz8,004f2a30,reviewed-callers,identity-review,name_origin=descriptive,Reviewed callers use enabled one with a text ID and enabled zero with ID minus one; the consumer gates timed help rendering on these fields
function-evidence:wiz8:004f2a30:reccmp,wiz8,004f2a30,reccmp,exact-compile,match:b89e80bad1b3f6fb,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\RegionManager.cpp
function-evidence:wiz8:004f25a0:canonical-behavior,wiz8,004f25a0,canonical-behavior,identity-review,name_origin=descriptive,The complete checked dispatcher selects the forced or active eligible region and invokes the help renderer after its countdown expires
function-evidence:wiz8:004f25a0:reccmp,wiz8,004f25a0,reccmp,exact-compile,match:d98f90c4c5959aa0,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\RegionManager.cpp
function-evidence:wiz8:004f2650:canonical-behavior,wiz8,004f2650,canonical-behavior,identity-review,name_origin=descriptive,The complete body resolves override or indexed help text draws it at a screen-clamped position and marks the region help as visible
function-evidence:wiz8:004f2750:canonical-behavior,wiz8,004f2750,canonical-behavior,identity-review,name_origin=descriptive,The complete checked body deletes the previous owned wide string then allocates and copies the caller text
function-evidence:wiz8:004f2750:reccmp,wiz8,004f2750,reccmp,exact-compile,match:0fa557c3993c9c4f,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\RegionManager.cpp
function-evidence:wiz8:004f27f0:canonical-behavior,wiz8,004f27f0,canonical-behavior,identity-review,name_origin=descriptive,The complete checked body hides active help clears its visible flag and either redraws immediately or restarts the delay
function-evidence:wiz8:004f27f0:reccmp,wiz8,004f27f0,reccmp,exact-compile,match:f80b471764cd398c,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\RegionManager.cpp
function-evidence:wiz8:004f2bb0:canonical-behavior,wiz8,004f2bb0,canonical-behavior,identity-review,name_origin=descriptive,The complete checked body validates one region and sets its help-enabled byte to one
function-evidence:wiz8:004f2bb0:reccmp,wiz8,004f2bb0,reccmp,exact-compile,match:65ad6220c60dc56d,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\RegionManager.cpp
function-evidence:wiz8:004f2bf0:canonical-behavior,wiz8,004f2bf0,canonical-behavior,identity-review,name_origin=descriptive,The complete checked body validates one region and clears its help-enabled byte
function-evidence:wiz8:004f2bf0:reccmp,wiz8,004f2bf0,reccmp,exact-compile,match:35cde21a2b1a7f5c,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\RegionManager.cpp
function-evidence:wiz8:0040115e:vc6-runtime,wiz8,0040115e,vc6-runtime,identity-review,name_origin=original-export,"Six-byte linker import thunk; the MSVCRT import table names the target directly, so the name is read off the IAT rather than inferred (IAT slot 0x005EB10C)"
function-evidence:wiz8:00401164:vc6-runtime,wiz8,00401164,vc6-runtime,identity-review,name_origin=original-export,"Six-byte linker import thunk; the MSVCRT import table names the target directly, so the name is read off the IAT rather than inferred (IAT slot 0x005EB0FC); called twice from the CRT entry, for the C and C++ initializer tables"
function-evidence:wiz8:00401180:vc6-runtime,wiz8,00401180,vc6-runtime,identity-review,name_origin=descriptive,"Local CRT wrapper that forwards to the MSVCRT _onexit import at 0x005EB0F0 when the table pointers at 0x0069DA74/0x0069DA78 are uninitialised, otherwise appends through 0x004011CC. Name is the CRT's convention, not stated by the binary"
function-evidence:wiz8:004011ac:vc6-runtime,wiz8,004011ac,vc6-runtime,identity-review,name_origin=descriptive,"Calls 0x00401180 and normalises its result to a boolean with neg/sbb, which is the standard CRT atexit-over-_onexit shape. BringUpEngine uses it to register the shutdown handler at 0x004017F0"
function-evidence:wiz8:004011c0:vc6-runtime,wiz8,004011c0,vc6-runtime,identity-review,name_origin=original-export,"Six-byte linker import thunk; the MSVCRT import table names the target directly, so the name is read off the IAT rather than inferred (IAT slot 0x005EB0DC); installed as the CRT entry's SEH handler"
function-evidence:wiz8:004018c0:sgp,wiz8,004018c0,sgp,identity-review,sgp/sgp.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build; reads PIXEL_DEPTH from sgp.ini
function-evidence:wiz8:00401950:sgp,wiz8,00401950,sgp,identity-review,sgp/sgp.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build; all eight Wizardry command switches agree
function-evidence:wiz8:00401b30:sgp,wiz8,00401b30,sgp,identity-review,sgp/input.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build; callback address is installed as WH_KEYBOARD
function-evidence:wiz8:00401c70:sgp,wiz8,00401c70,sgp,identity-review,sgp/input.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build; callback address is installed as WH_MOUSE
function-evidence:wiz8:00401ea0:sgp,wiz8,00401ea0,sgp,identity-review,sgp/input.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build; startup bring-up calls it directly
function-evidence:wiz8:00401f70:sgp,wiz8,00401f70,sgp,identity-review,sgp/input.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00401f90:sgp,wiz8,00401f90,sgp,identity-review,sgp/input.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build; event-ring layout corroborates identity
function-evidence:wiz8:00402140:sgp,wiz8,00402140,sgp,identity-review,sgp/input.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build; repeat handling is inlined
function-evidence:wiz8:00402750:sgp,wiz8,00402750,sgp,identity-review,sgp/input.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00402760:sgp,wiz8,00402760,sgp,identity-review,sgp/input.c,VC6 SP5 body is byte-exact in every comparable build
function-evidence:wiz8:00404b50:sgp,wiz8,00404b50,sgp,identity-review,sgp/DEBUG.C,VC6 SP5 common project profile relocation-masked body exact in every comparable build; source eight-slot formatter ring and 55 callers corroborate identity
function-evidence:wiz8:00404bf0:sgp,wiz8,00404bf0,sgp,identity-review,sgp/FileMan.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00404c40:sgp,wiz8,00404c40,sgp,identity-review,sgp/FileMan.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00404c80:formats,wiz8,00404c80,formats,identity-review,name_origin=sgp-source,Source name and complete body recovered from pinned SGP FileMan.c; opens a physical file or resolves a read-only member through the initialized SLF archive table; former descriptive name OpenVirtualFile
function-evidence:wiz8:00404c80:sgp,wiz8,00404c80,sgp,identity-review,sgp/FileMan.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build; supersedes descriptive name
function-evidence:wiz8:00404e10:formats,wiz8,00404e10,formats,identity-review,name_origin=descriptive,Closes a physical handle or releases an SLF-backed virtual-file slot
function-evidence:wiz8:00404ea0:formats,wiz8,00404ea0,formats,identity-review,name_origin=descriptive,Reads bytes from either a physical handle or an SLF archive entry and reports the completed byte count
function-evidence:wiz8:00404fb0:sgp,wiz8,00404fb0,sgp,identity-review,sgp/FileMan.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00405030:formats,wiz8,00405030,formats,identity-review,name_origin=sgp-source,Source name and complete body recovered from pinned SGP FileMan.c; seeks a physical handle or SLF-backed entry using origin values 1 2 and 4; former descriptive name SeekVirtualFile
function-evidence:wiz8:00405030:sgp,wiz8,00405030,sgp,identity-review,sgp/FileMan.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build; supersedes descriptive name
function-evidence:wiz8:004051d0:sgp,wiz8,004051d0,sgp,identity-review,sgp/FileMan.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:004051f0:sgp,wiz8,004051f0,sgp,identity-review,sgp/FileMan.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00405200:sgp,wiz8,00405200,sgp,identity-review,sgp/FileMan.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00405270:sgp,wiz8,00405270,sgp,identity-review,sgp/FileMan.c,Exact in four comparable modules; Wiz8New.exe differs by the reviewed fFindInfoInUse assignment byte
function-evidence:wiz8:00405300:sgp,wiz8,00405300,sgp,identity-review,sgp/FileMan.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00405350:sgp,wiz8,00405350,sgp,identity-review,sgp/FileMan.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00405390:sgp,wiz8,00405390,sgp,identity-review,sgp/FileMan.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:004054d0:sgp,wiz8,004054d0,sgp,identity-review,sgp/FileMan.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:004054f0:sgp,wiz8,004054f0,sgp,identity-review,sgp/FileMan.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00405550:sgp,wiz8,00405550,sgp,identity-review,sgp/FileMan.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00405970:sgp,wiz8,00405970,sgp,identity-review,sgp/Container.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:004059b0:sgp,wiz8,004059b0,sgp,identity-review,sgp/Container.c,Source body collides with CreateQueue; list-sized callers and the retained list API establish CreateList in every comparable build
function-evidence:wiz8:00405a00:sgp,wiz8,00405a00,sgp,identity-review,sgp/Container.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00405a70:sgp,wiz8,00405a70,sgp,identity-review,sgp/Container.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00405ac0:sgp,wiz8,00405ac0,sgp,identity-review,sgp/Container.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00405b00:sgp,wiz8,00405b00,sgp,identity-review,sgp/Container.c,VC6 folded the identical referenced stack and list delete bodies at one address in every comparable build
function-evidence:wiz8:00405b20:sgp,wiz8,00405b20,sgp,identity-review,sgp/Container.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00405b90:sgp,wiz8,00405b90,sgp,identity-review,sgp/Container.c,The identical generic body is used by a Wizardry list caller and the source marks StoreListNode as the Wizardry addition
function-evidence:wiz8:00405c00:sgp,wiz8,00405c00,sgp,identity-review,sgp/Container.c,VC6 folded the identical referenced stack and list size bodies at one address in every comparable build
function-evidence:wiz8:00405c10:sgp,wiz8,00405c10,sgp,identity-review,sgp/Container.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00406b70:sgp,wiz8,00406b70,sgp,identity-review,sgp/timer.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build; timer callback address is passed to SetTimer
function-evidence:wiz8:00406ba0:sgp,wiz8,00406ba0,sgp,identity-review,sgp/timer.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build; startup bring-up calls it directly
function-evidence:wiz8:00406bd0:sgp,wiz8,00406bd0,sgp,identity-review,sgp/timer.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00406be0:sgp,wiz8,00406be0,sgp,identity-review,sgp/timer.c,Generic getter body resolved by source order between exact neighboring timer functions
function-evidence:wiz8:00406bf0:sgp,wiz8,00406bf0,sgp,identity-review,sgp/timer.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00406c00:sgp,wiz8,00406c00,sgp,identity-review,sgp/timer.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00408860:cfagent-oracle,wiz8,00408860,cfagent-oracle,identity-review,name_origin=fan-patch-signature,CFAgent pW8FUNC_PlaySound English seed address verified by embedded expected bytes
function-evidence:wiz8:0040ef80:sgp,wiz8,0040ef80,sgp,identity-review,sgp/Random.c,VC6 SP5 /O2 /Ob2 /MD /G5 relocation-masked body exact in every unprotected build
function-evidence:wiz8:0040efa0:cfagent-oracle,wiz8,0040efa0,cfagent-oracle,identity-review,name_origin=fan-patch-signature|sgp-source,"CFAgent pW8FUNC_GetRandomNumber seed address, promoted by the exact SGP Random.c compile that names the body Random"
