claim_id,program,entity_kind,entity_key,predicate,value,origin,authority,confidence,reference,details
function-source:wiz8:00405ac0:PeekStack,wiz8,function,00405ac0,accepted-identity,PeekStack,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Retained stack family; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00405b00:DeleteStack,wiz8,function,00405b00,accepted-identity,DeleteStack,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Identical referenced delete COMDATs folded; Stack callers and list callers both reach the sole physical body. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00405b00:DeleteList,wiz8,function,00405b00,accepted-alias,DeleteList,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Identical referenced delete COMDATs folded; Stack callers and list callers both reach the sole physical body. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00405b20:PeekList,wiz8,function,00405b20,accepted-identity,PeekList,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Retained list family; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00405b90:StoreListNode,wiz8,function,00405b90,accepted-identity,StoreListNode,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Body collides with SwapListNode and source marks this as a Wizardry addition; Sole list caller and product-specific source comment establish the identity. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00405c00:StackSize,wiz8,function,00405c00,accepted-identity,StackSize,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Identical referenced size COMDATs folded; Stack callers and list callers both reach the sole physical body. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00405c00:ListSize,wiz8,function,00405c00,accepted-alias,ListSize,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Identical referenced size COMDATs folded; Stack callers and list callers both reach the sole physical body. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00405c10:AddtoList,wiz8,function,00405c10,accepted-identity,AddtoList,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Last retained Container.c physical body; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00404b00:DbgInitialize,wiz8,function,00404b00,accepted-identity,DbgInitialize,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"The retail _NO_DEBUG_TXT profile removes debug-file setup; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00404b50:String,wiz8,function,00404b50,accepted-identity,String,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Only retained DEBUG.C callable and immediately precedes FileMan.c; Unique relocation-masked candidate with the source eight-slot 512-byte ring in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00401570:InitializeStandardGamingPlatform,wiz8,function,00401570,accepted-identity,InitializeStandardGamingPlatform,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Released Wizardry startup branch owns the complete initialization gate; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:004018c0:GetRuntimeSettings,wiz8,function,004018c0,accepted-identity,GetRuntimeSettings,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Reads PIXEL_DEPTH from the SGP ini file; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00401950:ProcessCommandLine,wiz8,function,00401950,accepted-identity,ProcessCommandLine,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"All eight Wizardry command switches agree; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00406b70:Clock,wiz8,function,00406b70,accepted-identity,Clock,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"SetTimer receives this callback address; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00406ba0:InitializeClockManager,wiz8,function,00406ba0,accepted-identity,InitializeClockManager,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Called by the startup bring-up chain; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00406bd0:ShutdownClockManager,wiz8,function,00406bd0,accepted-identity,ShutdownClockManager,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Calls KillTimer with the shared window and timer id; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00406be0:GetClock,wiz8,function,00406be0,accepted-identity,GetClock,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Generic six-byte global getter has many raw collisions; Exact source neighbors bracket 00406be0 and its callers use the timer value. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00406bf0:SetCountdownClock,wiz8,function,00406bf0,accepted-identity,SetCountdownClock,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Adds an interval to the shared current-time global; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00406c00:ClockIsTicking,wiz8,function,00406c00,accepted-identity,ClockIsTicking,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Returns the remaining interval or zero; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00401b30:KeyboardHandler,wiz8,function,00401b30,accepted-identity,KeyboardHandler,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Installed as the WH_KEYBOARD callback; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00401c70:MouseHandler,wiz8,function,00401c70,accepted-identity,MouseHandler,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Wizardry-specific windowed mouse path is retained; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00401ea0:InitializeInputManager,wiz8,function,00401ea0,accepted-identity,InitializeInputManager,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Called by the startup bring-up chain and installs both callbacks; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00401f70:ShutdownInputManager,wiz8,function,00401f70,accepted-identity,ShutdownInputManager,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Unhooks both input callbacks during teardown; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00401f90:QueueEvent,wiz8,function,00401f90,accepted-identity,QueueEvent,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Event-ring accesses and double-click state agree; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00402140:DequeueEvent,wiz8,function,00402140,accepted-identity,DequeueEvent,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Repeat handling is inlined before the ring dequeue; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00402750:FreeMouseCursor,wiz8,function,00402750,accepted-identity,FreeMouseCursor,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Releases ClipCursor and clears the clip flag; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00402760:GetMouseWheelDeltaValue,wiz8,function,00402760,accepted-identity,GetMouseWheelDeltaValue,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Wheel delta normalization is retained verbatim; Unique byte-exact candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:0040b720:MSYS_AddRegionToList,wiz8,function,0040b720,accepted-identity,MSYS_AddRegionToList,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Retained MouseSystem implementation; Unique source match in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:0040be10:MSYS_DefineRegion,wiz8,function,0040be10,accepted-identity,MSYS_DefineRegion,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Retained MouseSystem implementation; Unique source match in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:0040b830:MSYS_DeleteRegionFromList,wiz8,function,0040b830,accepted-identity,MSYS_DeleteRegionFromList,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Retained MouseSystem implementation; Unique source match in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:0040bf70:MSYS_DisableRegion,wiz8,function,0040bf70,accepted-identity,MSYS_DisableRegion,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Retained MouseSystem implementation; Unique source match in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:0040bf60:MSYS_EnableRegion,wiz8,function,0040bf60,accepted-identity,MSYS_EnableRegion,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Retained MouseSystem implementation; Unique source match in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:0040bfa0:MSYS_GetRegionUserData,wiz8,function,0040bfa0,accepted-identity,MSYS_GetRegionUserData,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Retained MouseSystem implementation; Unique source match in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:0040bfc0:MSYS_GrabMouse,wiz8,function,0040bfc0,accepted-identity,MSYS_GrabMouse,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Retained MouseSystem implementation; Unique source match in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:0040b290:MSYS_Init,wiz8,function,0040b290,accepted-identity,MSYS_Init,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Retained MouseSystem implementation; Unique source match in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:0040c010:MSYS_ReleaseMouse,wiz8,function,0040c010,accepted-identity,MSYS_ReleaseMouse,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Retained MouseSystem implementation; Unique source match in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:0040bee0:MSYS_RemoveRegion,wiz8,function,0040bee0,accepted-identity,MSYS_RemoveRegion,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Retained MouseSystem implementation; Unique source match in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:0040bf80:MSYS_SetRegionUserData,wiz8,function,0040bf80,accepted-identity,MSYS_SetRegionUserData,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Retained MouseSystem implementation; Unique source match in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:0040b510:MSYS_SGP_Mouse_Handler_Hook,wiz8,function,0040b510,accepted-identity,MSYS_SGP_Mouse_Handler_Hook,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Retained MouseSystem implementation; Unique source match in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:0040b450:MSYS_Shutdown,wiz8,function,0040b450,accepted-identity,MSYS_Shutdown,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Retained MouseSystem implementation; Unique source match in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:0040b900:MSYS_UpdateMouseRegion,wiz8,function,0040b900,accepted-identity,MSYS_UpdateMouseRegion,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Retained MouseSystem implementation; Unique source match in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:0040c1f0:SetFastHelpDelay,wiz8,function,0040c1f0,accepted-identity,SetFastHelpDelay,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Retained MouseSystem implementation; Unique source match in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:0040c040:SetRegionFastHelpText,wiz8,function,0040c040,accepted-identity,SetRegionFastHelpText,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Retained MouseSystem implementation; Unique source match in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:0040c200:EnableMouseFastHelp,wiz8,function,0040c200,accepted-identity,EnableMouseFastHelp,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"One-store MouseSystem state toggle; Released source order and the owning global resolve the generic body. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:0040c210:DisableMouseFastHelp,wiz8,function,0040c210,accepted-identity,DisableMouseFastHelp,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"One-store MouseSystem state toggle; Released source order and the owning global resolve the generic body. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:0040c220:ResetClickedMode,wiz8,function,0040c220,accepted-identity,ResetClickedMode,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"One-store MouseSystem state toggle; Released source order and the owning global resolve the generic body. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00407210:SetFont,wiz8,function,00407210,accepted-identity,SetFont,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Pinned SGP implementation owns the retained Wizardry body; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00407d30:InitializeFontManager,wiz8,function,00407d30,accepted-identity,InitializeFontManager,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Pinned SGP implementation owns the retained Wizardry body; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00407e30:ShutdownFontManager,wiz8,function,00407e30,accepted-identity,ShutdownFontManager,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Pinned SGP implementation owns the retained Wizardry body; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:0040a9a0:SoundSetMusic,wiz8,function,0040a9a0,accepted-identity,SoundSetMusic,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Pinned SGP implementation owns the retained Wizardry body; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00405e60:InitializeVideoObjectManager,wiz8,function,00405e60,accepted-identity,InitializeVideoObjectManager,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Pinned SGP implementation owns the retained Wizardry body; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00405e80:ShutdownVideoObjectManager,wiz8,function,00405e80,accepted-identity,ShutdownVideoObjectManager,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Pinned SGP implementation owns the retained Wizardry body; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:004068e0:SetObjectShade,wiz8,function,004068e0,accepted-identity,SetObjectShade,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Pinned SGP implementation owns the retained Wizardry body; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00411820:GetClippingRect,wiz8,function,00411820,accepted-identity,GetClippingRect,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Pinned SGP implementation owns the retained Wizardry body; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:004114c0:Blt16BPPTo16BPPTrans,wiz8,function,004114c0,accepted-identity,Blt16BPPTo16BPPTrans,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Pinned SGP implementation owns the retained Wizardry body; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00402970:InitializeVideoSurfaceManager,wiz8,function,00402970,accepted-identity,InitializeVideoSurfaceManager,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Pinned SGP implementation owns the retained Wizardry body; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00402990:ShutdownVideoSurfaceManager,wiz8,function,00402990,accepted-identity,ShutdownVideoSurfaceManager,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Pinned SGP implementation owns the retained Wizardry body; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00402e60:DeletePrimaryVideoSurfaces,wiz8,function,00402e60,accepted-identity,DeletePrimaryVideoSurfaces,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Pinned SGP implementation owns the retained Wizardry body; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:004044c0:CreateVideoSurfaceFromDDSurface,wiz8,function,004044c0,accepted-identity,CreateVideoSurfaceFromDDSurface,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Pinned SGP implementation owns the retained Wizardry body; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:0040f020:InitializeRegistryKeys,wiz8,function,0040f020,accepted-identity,InitializeRegistryKeys,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Wizardry startup passes the released Wizardry8 and Wizardry8key literals; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:0040c0b0:RenderFastHelp,wiz8,function,0040c0b0,accepted-identity,RenderFastHelp,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Released source contains the explicit Wizardry fast-help branch; Correct gfRenderHilights and gfShowFastHelp ownership resolves the apparent product fork. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00406dc0:SetFontObjectPalette16BPP,wiz8,function,00406dc0,accepted-identity,SetFontObjectPalette16BPP,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Pinned SGP implementation owns the retained Wizardry body; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00406e00:LoadFontFile,wiz8,function,00406e00,accepted-identity,LoadFontFile,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Pinned SGP implementation owns the retained Wizardry body; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00407260:mprintf,wiz8,function,00407260,accepted-identity,mprintf,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Pinned SGP implementation owns the retained Wizardry body; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00407650:gprintf,wiz8,function,00407650,accepted-identity,gprintf,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Pinned SGP implementation owns the retained Wizardry body; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00402b90:LockVideoSurface,wiz8,function,00402b90,accepted-identity,LockVideoSurface,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Pinned SGP implementation owns the retained Wizardry body; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
