record_type,lower_address,upper_address,bounds,source_path,anchor_function_count,lower_anchor,upper_anchor,previous_source_path,next_source_path
gap,00488650,0048a7a0,exclusive,,0,00488650,0048a7a0,Engine Code\ReadMesh.cpp,Engine Code\MonGen.cpp
translation-unit,0048a7a0,0048c110,inclusive,Engine Code\MonGen.cpp,5,0048a7a0,0048c110,,
gap,0048c110,0048d080,exclusive,,0,0048c110,0048d080,Engine Code\MonGen.cpp,Engine Code\stCube.cpp
translation-unit,0048d080,0048ef40,inclusive,Engine Code\stCube.cpp,4,0048d080,0048ef40,,
gap,0048ef40,00497af0,exclusive,,0,0048ef40,00497af0,Engine Code\stCube.cpp,Engine Code\stParticle.cpp
translation-unit,00497af0,0049ad10,inclusive,Engine Code\stParticle.cpp,3,00497af0,0049ad10,,
gap,0049ad10,0049e5d0,exclusive,,0,0049ad10,0049e5d0,Engine Code\stParticle.cpp,Engine Code\OctSubMesh.cpp
translation-unit,0049e5d0,0049e9a0,inclusive,Engine Code\OctSubMesh.cpp,2,0049e5d0,0049e9a0,,
gap,0049e9a0,0049f170,exclusive,,0,0049e9a0,0049f170,Engine Code\OctSubMesh.cpp,Engine Code\Item.cpp
translation-unit,0049f170,0049faa0,inclusive,Engine Code\Item.cpp,4,0049f170,0049faa0,,
gap,0049faa0,004a01a0,exclusive,,0,0049faa0,004a01a0,Engine Code\Item.cpp,Engine Code\AnimObj.cpp
translation-unit,004a01a0,004a1dc0,inclusive,Engine Code\AnimObj.cpp,11,004a01a0,004a1dc0,,
gap,004a1dc0,004a2710,exclusive,,0,004a1dc0,004a2710,Engine Code\AnimObj.cpp,Engine Code\Missile.cpp
translation-unit,004a2710,004a5450,inclusive,Engine Code\Missile.cpp,13,004a2710,004a5450,,
gap,004a5450,004a5f20,exclusive,,0,004a5450,004a5f20,Engine Code\Missile.cpp,Engine Code\GrCycle.cpp
translation-unit,004a5f20,004a89a0,inclusive,Engine Code\GrCycle.cpp,12,004a5f20,004a89a0,,
gap,004a89a0,004a91f0,exclusive,,0,004a89a0,004a91f0,Engine Code\GrCycle.cpp,Engine Code\PathAI.CPP
translation-unit,004a91f0,004aaa10,inclusive,Engine Code\PathAI.CPP,8,004a91f0,004aaa10,,
gap,004aaa10,004aab80,exclusive,,0,004aaa10,004aab80,Engine Code\PathAI.CPP,Engine Code\Spells.cpp
translation-unit,004aab80,004adb20,inclusive,Engine Code\Spells.cpp,16,004aab80,004adb20,,
gap,004adb20,004b53d0,exclusive,,0,004adb20,004b53d0,Engine Code\Spells.cpp,Engine Code\AnimRep.cpp
translation-unit,004b53d0,004b55c0,inclusive,Engine Code\AnimRep.cpp,3,004b53d0,004b55c0,,
gap,004b55c0,004b5880,exclusive,,0,004b55c0,004b5880,Engine Code\AnimRep.cpp,Engine Code\AniMesh.cpp
translation-unit,004b5880,004b6860,inclusive,Engine Code\AniMesh.cpp,9,004b5880,004b6860,,
gap,004b6860,004b69a0,exclusive,,0,004b6860,004b69a0,Engine Code\AniMesh.cpp,Engine Code\GrObject.cpp
translation-unit,004b69a0,004b6bd0,inclusive,Engine Code\GrObject.cpp,2,004b69a0,004b6bd0,,
gap,004b6bd0,004b7730,exclusive,,0,004b6bd0,004b7730,Engine Code\GrObject.cpp,Engine Code\GDProp.cpp
translation-unit,004b7730,004b7830,inclusive,Engine Code\GDProp.cpp,2,004b7730,004b7830,,
gap,004b7830,004b8a70,exclusive,,0,004b7830,004b8a70,Engine Code\GDProp.cpp,Engine Code\materials.cpp
translation-unit,004b8a70,004b95d0,inclusive,Engine Code\materials.cpp,3,004b8a70,004b95d0,,
gap,004b95d0,004baf60,exclusive,,0,004b95d0,004baf60,Engine Code\materials.cpp,Engine Code\UpdateMesh.cpp
translation-unit,004baf60,004baf60,inclusive,Engine Code\UpdateMesh.cpp,1,004baf60,004baf60,,
gap,004baf60,004baff0,exclusive,,0,004baf60,004baff0,Engine Code\UpdateMesh.cpp,Engine Code\ReadLevel.cpp
translation-unit,004baff0,004bdc90,inclusive,Engine Code\ReadLevel.cpp,5,004baff0,004bdc90,,
gap,004bdc90,004be200,exclusive,,0,004bdc90,004be200,Engine Code\ReadLevel.cpp,Engine Code\quad.cpp
translation-unit,004be200,004be200,inclusive,Engine Code\quad.cpp,1,004be200,004be200,,
gap,004be200,004bf0f0,exclusive,,0,004be200,004bf0f0,Engine Code\quad.cpp,Engine Code\Monster.cpp
translation-unit,004bf0f0,004c9dc0,inclusive,Engine Code\Monster.cpp,20,004bf0f0,004c9dc0,,
gap,004c9dc0,004ce510,exclusive,,0,004c9dc0,004ce510,Engine Code\Monster.cpp,Engine Code\OctPrePath.cpp
translation-unit,004ce510,004ce510,inclusive,Engine Code\OctPrePath.cpp,1,004ce510,004ce510,,
gap,004ce510,004cf3b0,exclusive,,0,004ce510,004cf3b0,Engine Code\OctPrePath.cpp,Engine Code\stScript.cpp
translation-unit,004cf3b0,004cf3b0,inclusive,Engine Code\stScript.cpp,1,004cf3b0,004cf3b0,,
gap,004cf3b0,004cfdc0,exclusive,,0,004cf3b0,004cfdc0,Engine Code\stScript.cpp,Engine Code\LevelFile.cpp
translation-unit,004cfdc0,004d5240,inclusive,Engine Code\LevelFile.cpp,16,004cfdc0,004d5240,,
gap,004d5240,004d57a0,exclusive,,0,004d5240,004d57a0,Engine Code\LevelFile.cpp,Engine Code\SoundEvent.cpp
translation-unit,004d57a0,004d5a10,inclusive,Engine Code\SoundEvent.cpp,2,004d57a0,004d5a10,,
gap,004d5a10,004d6bf0,exclusive,,0,004d5a10,004d6bf0,Engine Code\SoundEvent.cpp,Level Specific Code\MasterFunctionList.cpp
translation-unit,004d6bf0,004d6bf0,inclusive,Level Specific Code\MasterFunctionList.cpp,1,004d6bf0,004d6bf0,,
gap,004d6bf0,004d9ad0,exclusive,,0,004d6bf0,004d9ad0,Level Specific Code\MasterFunctionList.cpp,Level Specific Code\Cosmic Circle.cpp
translation-unit,004d9ad0,004d9ad0,inclusive,Level Specific Code\Cosmic Circle.cpp,1,004d9ad0,004d9ad0,,
gap,004d9ad0,004e1040,exclusive,,0,004d9ad0,004e1040,Level Specific Code\Cosmic Circle.cpp,Level Specific Code\Arnika.cpp
translation-unit,004e1040,004e24e0,inclusive,Level Specific Code\Arnika.cpp,4,004e1040,004e24e0,,
gap,004e24e0,004e3af0,exclusive,,0,004e24e0,004e3af0,Level Specific Code\Arnika.cpp,Local Code\MonsterManager.cpp
translation-unit,004e3af0,004e6370,inclusive,Local Code\MonsterManager.cpp,15,004e3af0,004e6370,,
gap,004e6370,004e77b0,exclusive,,0,004e6370,004e77b0,Local Code\MonsterManager.cpp,Local Code\Combat.cpp
translation-unit,004e77b0,004ed390,inclusive,Local Code\Combat.cpp,11,004e77b0,004ed390,,
gap,004ed390,004ee000,exclusive,,0,004ed390,004ee000,Local Code\Combat.cpp,Local Code\GameplayCode.cpp
translation-unit,004ee000,004ef950,inclusive,Local Code\GameplayCode.cpp,4,004ee000,004ef950,,
gap,004ef950,004f01d0,exclusive,,0,004ef950,004f01d0,Local Code\GameplayCode.cpp,Local Code\Combat Party Movement.cpp
translation-unit,004f01d0,004f0c80,inclusive,Local Code\Combat Party Movement.cpp,8,004f01d0,004f0c80,,
gap,004f0c80,004f2040,exclusive,,0,004f0c80,004f2040,Local Code\Combat Party Movement.cpp,Local Code\RegionManager.cpp
translation-unit,004f2040,004f2bf0,inclusive,Local Code\RegionManager.cpp,14,004f2040,004f2bf0,,
gap,004f2bf0,004f30f0,exclusive,,0,004f2bf0,004f30f0,Local Code\RegionManager.cpp,Local Code\Controls.cpp
translation-unit,004f30f0,004f54b0,inclusive,Local Code\Controls.cpp,4,004f30f0,004f54b0,,
gap,004f54b0,004f6c50,exclusive,,0,004f54b0,004f6c50,Local Code\Controls.cpp,Local Code\ItemManager.cpp
translation-unit,004f6c50,004f8cb0,inclusive,Local Code\ItemManager.cpp,13,004f6c50,004f8cb0,,
gap,004f8cb0,004f9aa0,exclusive,,0,004f8cb0,004f9aa0,Local Code\ItemManager.cpp,Local Code\Magic.cpp
translation-unit,004f9aa0,00501910,inclusive,Local Code\Magic.cpp,18,004f9aa0,00501910,,
gap,00501910,00501fd0,exclusive,,0,00501910,00501fd0,Local Code\Magic.cpp,Local Code\GameplayTime.cpp
translation-unit,00501fd0,00503100,inclusive,Local Code\GameplayTime.cpp,2,00501fd0,00503100,,
gap,00503100,005049c0,exclusive,,0,00503100,005049c0,Local Code\GameplayTime.cpp,Local Code\Sight.cpp
translation-unit,005049c0,00505a40,inclusive,Local Code\Sight.cpp,2,005049c0,00505a40,,
gap,00505a40,00506670,exclusive,,0,00505a40,00506670,Local Code\Sight.cpp,Local Code\NPC Scripting Facts.cpp
translation-unit,00506670,00506670,inclusive,Local Code\NPC Scripting Facts.cpp,1,00506670,00506670,,
gap,00506670,00509cd0,exclusive,,0,00506670,00509cd0,Local Code\NPC Scripting Facts.cpp,Local Code\NPC Manager.cpp
translation-unit,00509cd0,0050d480,inclusive,Local Code\NPC Manager.cpp,5,00509cd0,0050d480,,
gap,0050d480,005100b0,exclusive,,0,0050d480,005100b0,Local Code\NPC Manager.cpp,Local Code\MonsterGroup.cpp
translation-unit,005100b0,00511990,inclusive,Local Code\MonsterGroup.cpp,4,005100b0,00511990,,
gap,00511990,00512e80,exclusive,,0,00511990,00512e80,Local Code\MonsterGroup.cpp,Local Code\LoadSaveGame.cpp
translation-unit,00512e80,00516580,inclusive,Local Code\LoadSaveGame.cpp,6,00512e80,00516580,,
gap,00516580,00516e20,exclusive,,0,00516580,00516e20,Local Code\LoadSaveGame.cpp,Local Code\search.cpp
translation-unit,00516e20,00516f00,inclusive,Local Code\search.cpp,2,00516e20,00516f00,,
gap,00516f00,00517bd0,exclusive,,0,00516f00,00517bd0,Local Code\search.cpp,Local Code\UtilityFunctions.cpp
translation-unit,00517bd0,00518310,inclusive,Local Code\UtilityFunctions.cpp,2,00517bd0,00518310,,
gap,00518310,00519180,exclusive,,0,00518310,00519180,Local Code\UtilityFunctions.cpp,Local Code\Combat Range.cpp
translation-unit,00519180,0051b320,inclusive,Local Code\Combat Range.cpp,8,00519180,0051b320,,
gap,0051b320,0051ba00,exclusive,,0,0051b320,0051ba00,Local Code\Combat Range.cpp,Local Code\PC Item.cpp
translation-unit,0051ba00,005222d0,inclusive,Local Code\PC Item.cpp,11,0051ba00,005222d0,,
gap,005222d0,00522fe0,exclusive,,0,005222d0,00522fe0,Local Code\PC Item.cpp,Local Code\Conditions & Enchantments.cpp
translation-unit,00522fe0,00523f40,inclusive,Local Code\Conditions & Enchantments.cpp,4,00522fe0,00523f40,,
gap,00523f40,00526e90,exclusive,,0,00523f40,00526e90,Local Code\Conditions & Enchantments.cpp,Local Code\NPC Scripting.cpp
translation-unit,00526e90,00526e90,inclusive,Local Code\NPC Scripting.cpp,1,00526e90,00526e90,,
gap,00526e90,0052a890,exclusive,,0,00526e90,0052a890,Local Code\NPC Scripting.cpp,Local Code\Health Stamina Mana.cpp
translation-unit,0052a890,0052c240,inclusive,Local Code\Health Stamina Mana.cpp,9,0052a890,0052c240,,
gap,0052c240,00530560,exclusive,,0,0052c240,00530560,Local Code\Health Stamina Mana.cpp,Local Code\MonsterAI.cpp
translation-unit,00530560,005355d0,inclusive,Local Code\MonsterAI.cpp,11,00530560,005355d0,,
gap,005355d0,00536170,exclusive,,0,005355d0,00536170,Local Code\MonsterAI.cpp,Local Code\Targeting.cpp
translation-unit,00536170,0053d010,inclusive,Local Code\Targeting.cpp,34,00536170,0053d010,,
gap,0053d010,0053d2a0,exclusive,,0,0053d010,0053d2a0,Local Code\Targeting.cpp,Local Code\Combat Attack.cpp
translation-unit,0053d2a0,00545e50,inclusive,Local Code\Combat Attack.cpp,17,0053d2a0,00545e50,,
gap,00545e50,00546f10,exclusive,,0,00545e50,00546f10,Local Code\Combat Attack.cpp,Local Code\Combat Hostility.cpp
translation-unit,00546f10,005474b0,inclusive,Local Code\Combat Hostility.cpp,4,00546f10,005474b0,,
gap,005474b0,00548f90,exclusive,,0,005474b0,00548f90,Local Code\Combat Hostility.cpp,Local Code\VideoObjectManager.cpp
translation-unit,00548f90,00549950,inclusive,Local Code\VideoObjectManager.cpp,7,00548f90,00549950,,
gap,00549950,005499d0,exclusive,,0,00549950,005499d0,Local Code\VideoObjectManager.cpp,Local Code\Combat Sound.cpp
translation-unit,005499d0,0054a0e0,inclusive,Local Code\Combat Sound.cpp,3,005499d0,0054a0e0,,
gap,0054a0e0,0054a8a0,exclusive,,0,0054a0e0,0054a8a0,Local Code\Combat Sound.cpp,Local Code\GameplayDatabase.cpp
translation-unit,0054a8a0,0054a8a0,inclusive,Local Code\GameplayDatabase.cpp,1,0054a8a0,0054a8a0,,
gap,0054a8a0,0054b810,exclusive,,0,0054a8a0,0054b810,Local Code\GameplayDatabase.cpp,Local Code\Configuration.cpp
translation-unit,0054b810,0054b810,inclusive,Local Code\Configuration.cpp,1,0054b810,0054b810,,
gap,0054b810,0054ba00,exclusive,,0,0054b810,0054ba00,Local Code\Configuration.cpp,Local Code\Magic Effects.cpp
translation-unit,0054ba00,00553910,inclusive,Local Code\Magic Effects.cpp,20,0054ba00,00553910,,
gap,00553910,005545f0,exclusive,,0,00553910,005545f0,Local Code\Magic Effects.cpp,Local Code\Formation & Facing.cpp
translation-unit,005545f0,00555c60,inclusive,Local Code\Formation & Facing.cpp,11,005545f0,00555c60,,
gap,00555c60,005560a0,exclusive,,0,00555c60,005560a0,Local Code\Formation & Facing.cpp,Local Code\GroupAttacks.cpp
translation-unit,005560a0,00556b10,inclusive,Local Code\GroupAttacks.cpp,2,005560a0,00556b10,,
gap,00556b10,005579e0,exclusive,,0,00556b10,005579e0,Local Code\GroupAttacks.cpp,Local Code\CharGeneration.cpp
translation-unit,005579e0,00557bc0,inclusive,Local Code\CharGeneration.cpp,2,005579e0,00557bc0,,
gap,00557bc0,005587c0,exclusive,,0,00557bc0,005587c0,Local Code\CharGeneration.cpp,Local Code\ButtonSound.cpp
translation-unit,005587c0,005587c0,inclusive,Local Code\ButtonSound.cpp,1,005587c0,005587c0,,
gap,005587c0,0055c000,exclusive,,0,005587c0,0055c000,Local Code\ButtonSound.cpp,Local Code\chunk.cpp
translation-unit,0055c000,0055cb60,inclusive,Local Code\chunk.cpp,11,0055c000,0055cb60,,
gap,0055cb60,0055d7a0,exclusive,,0,0055cb60,0055d7a0,Local Code\chunk.cpp,Local Code\InputMapper.cpp
translation-unit,0055d7a0,0055d7a0,inclusive,Local Code\InputMapper.cpp,1,0055d7a0,0055d7a0,,
gap,0055d7a0,0055f080,exclusive,,0,0055d7a0,0055f080,Local Code\InputMapper.cpp,Local Screens\Screens.cpp
translation-unit,0055f080,0055f080,inclusive,Local Screens\Screens.cpp,1,0055f080,0055f080,,
gap,0055f080,0055f8c0,exclusive,,0,0055f080,0055f8c0,Local Screens\Screens.cpp,Local Screens\MainGameScreen.cpp
translation-unit,0055f8c0,0056af80,inclusive,Local Screens\MainGameScreen.cpp,3,0055f8c0,0056af80,,
gap,0056af80,00579900,exclusive,,0,0056af80,00579900,Local Screens\MainGameScreen.cpp,Local Screens\mipe.cpp
translation-unit,00579900,0057dc20,inclusive,Local Screens\mipe.cpp,4,00579900,0057dc20,,
gap,0057dc20,005817d0,exclusive,,0,0057dc20,005817d0,Local Screens\mipe.cpp,Local Screens\AutomapScreen.cpp
translation-unit,005817d0,00583bc0,inclusive,Local Screens\AutomapScreen.cpp,2,005817d0,00583bc0,,
gap,00583bc0,0058ac00,exclusive,,0,00583bc0,0058ac00,Local Screens\AutomapScreen.cpp,Local Screens\MGSTextBox.cpp
translation-unit,0058ac00,00590bd0,inclusive,Local Screens\MGSTextBox.cpp,8,0058ac00,00590bd0,,
gap,00590bd0,005963e0,exclusive,,0,00590bd0,005963e0,Local Screens\MGSTextBox.cpp,Local Screens\MGSButtons.cpp
translation-unit,005963e0,005963e0,inclusive,Local Screens\MGSButtons.cpp,1,005963e0,005963e0,,
gap,005963e0,0059b940,exclusive,,0,005963e0,0059b940,Local Screens\MGSButtons.cpp,Local Screens\MGSPortraits.cpp
translation-unit,0059b940,0059bfc0,inclusive,Local Screens\MGSPortraits.cpp,4,0059b940,0059bfc0,,
gap,0059bfc0,0059e0f0,exclusive,,0,0059bfc0,0059e0f0,Local Screens\MGSPortraits.cpp,Local Screens\MGSUseItemSelect.cpp
translation-unit,0059e0f0,0059e0f0,inclusive,Local Screens\MGSUseItemSelect.cpp,1,0059e0f0,0059e0f0,,
gap,0059e0f0,0059f710,exclusive,,0,0059e0f0,0059f710,Local Screens\MGSUseItemSelect.cpp,Local Screens\MGSSpellCasting.cpp
translation-unit,0059f710,005a1150,inclusive,Local Screens\MGSSpellCasting.cpp,2,0059f710,005a1150,,
gap,005a1150,005a1eb0,exclusive,,0,005a1150,005a1eb0,Local Screens\MGSSpellCasting.cpp,Local Screens\MGSPartyMovement.cpp
translation-unit,005a1eb0,005a1eb0,inclusive,Local Screens\MGSPartyMovement.cpp,1,005a1eb0,005a1eb0,,
gap,005a1eb0,005a3520,exclusive,,0,005a1eb0,005a3520,Local Screens\MGSPartyMovement.cpp,Local Screens\ReviewCharacterScreen.cpp
translation-unit,005a3520,005a3520,inclusive,Local Screens\ReviewCharacterScreen.cpp,1,005a3520,005a3520,,
gap,005a3520,005a8ed0,exclusive,,0,005a3520,005a8ed0,Local Screens\ReviewCharacterScreen.cpp,Local Screens\OptionsScreen.cpp
translation-unit,005a8ed0,005a8ed0,inclusive,Local Screens\OptionsScreen.cpp,1,005a8ed0,005a8ed0,,
gap,005a8ed0,005ae510,exclusive,,0,005a8ed0,005ae510,Local Screens\OptionsScreen.cpp,Local Screens\IntroScreen.cpp
translation-unit,005ae510,005ae510,inclusive,Local Screens\IntroScreen.cpp,1,005ae510,005ae510,,
gap,005ae510,005aed90,exclusive,,0,005ae510,005aed90,Local Screens\IntroScreen.cpp,Local Screens\MGSSpellIcons.cpp
translation-unit,005aed90,005af410,inclusive,Local Screens\MGSSpellIcons.cpp,3,005aed90,005af410,,
gap,005af410,005b6630,exclusive,,0,005af410,005b6630,Local Screens\MGSSpellIcons.cpp,Local Screens\RCSCommon.cpp
translation-unit,005b6630,005b6d20,inclusive,Local Screens\RCSCommon.cpp,3,005b6630,005b6d20,,
gap,005b6d20,005b9fd0,exclusive,,0,005b6d20,005b9fd0,Local Screens\RCSCommon.cpp,Local Screens\RCSItemsPage.cpp
translation-unit,005b9fd0,005bbd30,inclusive,Local Screens\RCSItemsPage.cpp,3,005b9fd0,005bbd30,,
gap,005bbd30,005bc810,exclusive,,0,005bbd30,005bc810,Local Screens\RCSItemsPage.cpp,Local Screens\MainMenuScreen.cpp
translation-unit,005bc810,005bc810,inclusive,Local Screens\MainMenuScreen.cpp,1,005bc810,005bc810,,
gap,005bc810,005c4340,exclusive,,0,005bc810,005c4340,Local Screens\MainMenuScreen.cpp,Local Screens\mipeEdit.cpp
translation-unit,005c4340,005c4340,inclusive,Local Screens\mipeEdit.cpp,1,005c4340,005c4340,,
gap,005c4340,005c87b0,exclusive,,0,005c4340,005c87b0,Local Screens\mipeEdit.cpp,Local Screens\CGSSpellsPage.cpp
translation-unit,005c87b0,005c87b0,inclusive,Local Screens\CGSSpellsPage.cpp,1,005c87b0,005c87b0,,
gap,005c87b0,005c9310,exclusive,,0,005c87b0,005c9310,Local Screens\CGSSpellsPage.cpp,Local Screens\CGSStatsPage.cpp
translation-unit,005c9310,005c9310,inclusive,Local Screens\CGSStatsPage.cpp,1,005c9310,005c9310,,
gap,005c9310,005cce70,exclusive,,0,005c9310,005cce70,Local Screens\CGSStatsPage.cpp,Dialog Code\stListBox.cpp
translation-unit,005cce70,005cd1e0,inclusive,Dialog Code\stListBox.cpp,6,005cce70,005cd1e0,,
gap,005cd1e0,005cf520,exclusive,,0,005cd1e0,005cf520,Dialog Code\stListBox.cpp,Dialog Code\DialogInterface.cpp
translation-unit,005cf520,005cf580,inclusive,Dialog Code\DialogInterface.cpp,3,005cf520,005cf580,,
gap,005cf580,005d2800,exclusive,,0,005cf580,005d2800,Dialog Code\DialogInterface.cpp,Dialog Code\stMessageDialog.cpp
translation-unit,005d2800,005d3370,inclusive,Dialog Code\stMessageDialog.cpp,4,005d2800,005d3370,,
gap,005d3370,005d7310,exclusive,,0,005d3370,005d7310,Dialog Code\stMessageDialog.cpp,Dialog Code\AssayDialog.cpp
translation-unit,005d7310,005d9460,inclusive,Dialog Code\AssayDialog.cpp,2,005d7310,005d9460,,
gap,005d9460,005db620,exclusive,,0,005d9460,005db620,Dialog Code\AssayDialog.cpp,Dialog Code\stButton.cpp
translation-unit,005db620,005db620,inclusive,Dialog Code\stButton.cpp,1,005db620,005db620,,
gap,005db620,005dbee0,exclusive,,0,005db620,005dbee0,Dialog Code\stButton.cpp,Dialog Code\SpellInfoDialog.cpp
translation-unit,005dbee0,005dbee0,inclusive,Dialog Code\SpellInfoDialog.cpp,1,005dbee0,005dbee0,,
gap,005dbee0,005df0d0,exclusive,,0,005dbee0,005df0d0,Dialog Code\SpellInfoDialog.cpp,Dialog Code\ProfRaceInfoDialog.cpp
translation-unit,005df0d0,005df570,inclusive,Dialog Code\ProfRaceInfoDialog.cpp,2,005df0d0,005df570,,
gap,005df570,005dfc70,exclusive,,0,005df570,005dfc70,Dialog Code\ProfRaceInfoDialog.cpp,Dialog Code\StatInfoDialogs.cpp
translation-unit,005dfc70,005e0180,inclusive,Dialog Code\StatInfoDialogs.cpp,3,005dfc70,005e0180,,
gap,005e0180,005e2440,exclusive,,0,005e0180,005e2440,Dialog Code\StatInfoDialogs.cpp,3D Code\PList.cpp
translation-unit,005e2440,005e26b0,inclusive,3D Code\PList.cpp,2,005e2440,005e26b0,,
gap,005e26b0,005e29a0,exclusive,,0,005e26b0,005e29a0,3D Code\PList.cpp,3D Code\IList.cpp
translation-unit,005e29a0,005e2cc0,inclusive,3D Code\IList.cpp,5,005e29a0,005e2cc0,,
gap,005e2cc0,005e3800,exclusive,,0,005e2cc0,005e3800,3D Code\IList.cpp,Local Code\Traps.cpp
translation-unit,005e3800,005e3800,inclusive,Local Code\Traps.cpp,1,005e3800,005e3800,,
