address,size,current_name,provisional_name,owner,confidence,fid_variants,evidence
100013d0,70,FUN_100013d0,init_keys,infozip-zcrypt-2.8,high,,Exact zcrypt28 crypt.c function order three key constants and update_keys loop
10001420,546,FUN_10001420,decrypt,infozip-zcrypt-2.8,high,,Exact zcrypt28 crypt.c function order encrypted-header and password-prompt control flow
10001650,115,FUN_10001650,testp,infozip-zcrypt-2.8,high,,Exact zcrypt28 crypt.c static helper between decrypt and testkey
100016d0,226,FUN_100016d0,testkey,infozip-zcrypt-2.8,high,,Exact zcrypt28 crypt.c static helper and 12-byte encrypted-header loop
100017c0,987,FUN_100017c0,explode,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10001ba0,181,FUN_10001ba0,get_tree,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-rtm-upstream-release-mt-o2|vc6-sp5-target-runtime-md-o2|vc6-sp5-upstream-release-mt-o2|vc6-sp6-target-runtime-md-o2|vc6-sp6-upstream-release-mt-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10001c60,1747,FUN_10001c60,explode_lit8,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-rtm-upstream-release-mt-o2|vc6-sp5-target-runtime-md-o2|vc6-sp5-upstream-release-mt-o2|vc6-sp6-target-runtime-md-o2|vc6-sp6-upstream-release-mt-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10002340,1747,FUN_10002340,explode_lit4,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-rtm-upstream-release-mt-o2|vc6-sp5-target-runtime-md-o2|vc6-sp5-upstream-release-mt-o2|vc6-sp6-target-runtime-md-o2|vc6-sp6-upstream-release-mt-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10002a20,1543,FUN_10002a20,explode_nolit8,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-rtm-upstream-release-mt-o2|vc6-sp5-target-runtime-md-o2|vc6-sp5-upstream-release-mt-o2|vc6-sp6-target-runtime-md-o2|vc6-sp6-upstream-release-mt-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10003030,1543,FUN_10003030,explode_nolit4,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-rtm-upstream-release-mt-o2|vc6-sp5-target-runtime-md-o2|vc6-sp5-upstream-release-mt-o2|vc6-sp6-target-runtime-md-o2|vc6-sp6-upstream-release-mt-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10003640,4704,FUN_10003640,extract_or_test_files,infozip-unzip-5.4,high,,Exact extract.c public function position before the two static member helpers
100048c0,813,FUN_100048c0,store_info,infozip-unzip-5.4,high,,Exact extract.c static helper order and compilation-unit section identity
10004bf0,2118,FUN_10004bf0,extract_or_test_member,infozip-unzip-5.4,high,,Exact extract.c static helper order and compilation-unit section identity
10005440,1378,FUN_10005440,_TestExtraField,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10005a10,178,FUN_10005a10,test_compr_eb,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10005ad0,505,FUN_10005ad0,memextract,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10005cd0,99,FUN_10005cd0,memflush,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-rtm-upstream-release-mt-o2|vc6-sp5-target-runtime-md-o2|vc6-sp5-upstream-release-mt-o2|vc6-sp6-target-runtime-md-o2|vc6-sp6-upstream-release-mt-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10005d40,63,FUN_10005d40,fnfilter,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10005d80,92,FUN_10005d80,open_input_file,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10005de0,221,FUN_10005de0,open_outfile,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10005ec0,84,FUN_10005ec0,undefer_input,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-rtm-upstream-release-mt-o2|vc6-sp5-target-runtime-md-o2|vc6-sp5-upstream-release-mt-o2|vc6-sp5-vcpp-target-runtime-md-o2|vc6-sp5-vcpp-upstream-release-mt-o2|vc6-sp6-target-runtime-md-o2|vc6-sp6-upstream-release-mt-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10005f20,106,FUN_10005f20,defer_leftover_input,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-rtm-upstream-release-mt-o2|vc6-sp5-target-runtime-md-o2|vc6-sp5-upstream-release-mt-o2|vc6-sp5-vcpp-target-runtime-md-o2|vc6-sp5-vcpp-upstream-release-mt-o2|vc6-sp6-target-runtime-md-o2|vc6-sp6-upstream-release-mt-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10005f90,255,FUN_10005f90,readbuf,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10006090,304,FUN_10006090,readbyte,infozip-unzip-5.4,high,,Exact fileio.c position between readbuf and flush and the NEXTBYTE refill implementation
100061c0,487,FUN_100061c0,flush,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
100063b0,79,FUN_100063b0,disk_error,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10006400,440,FUN_10006400,_UzpMessagePrnt@16,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp5-vcpp-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
100065d0,375,FUN_100065d0,dos_to_unix_time,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10006750,165,FUN_10006750,check_for_newer,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10006800,1274,FUN_10006800,do_string,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10006d20,15,FUN_10006d20,makeword,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10006d30,39,FUN_10006d30,makelong,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10006d60,110,FUN_10006d60,zstrnicmp,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10006dd0,142,FUN_10006dd0,globalsCtor,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10006e60,1254,FUN_10006e60,inflate_codes,infozip-unzip-5.4,high,vc6-sp5-target-runtime-md-o2|vc6-sp5-upstream-release-mt-o2|vc6-sp6-target-runtime-md-o2|vc6-sp6-upstream-release-mt-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10007350,205,FUN_10007350,inflate,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10007420,265,FUN_10007420,inflate_block,infozip-unzip-5.4,high,vc6-sp5-target-runtime-md-o2|vc6-sp5-upstream-release-mt-o2|vc6-sp6-target-runtime-md-o2|vc6-sp6-upstream-release-mt-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10007530,434,FUN_10007530,inflate_stored,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-rtm-upstream-release-mt-o2|vc6-sp5-target-runtime-md-o2|vc6-sp5-upstream-release-mt-o2|vc6-sp6-target-runtime-md-o2|vc6-sp6-upstream-release-mt-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
100076f0,327,FUN_100076f0,inflate_fixed,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10007840,1604,FUN_10007840,inflate_dynamic,infozip-unzip-5.4,high,vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10007e90,66,FUN_10007e90,inflate_free,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10007ee0,1246,FUN_10007ee0,huft_build,infozip-unzip-5.4,high,vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
100083c0,40,FUN_100083c0,huft_free,infozip-unzip-5.4,high,vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
100083f0,1424,FUN_100083f0,list_files,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10008980,746,FUN_10008980,get_time_stamp,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10008c70,88,FUN_10008c70,fn_is_dir,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10008cd0,148,FUN_10008cd0,ratio,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10008d70,72,FUN_10008d70,fnprint,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10008dc0,30,FUN_10008dc0,match,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10008de0,667,FUN_10008de0,recmatch,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-rtm-upstream-release-mt-o2|vc6-sp5-target-runtime-md-o2|vc6-sp5-upstream-release-mt-o2|vc6-sp5-vcpp-target-runtime-md-o2|vc6-sp5-vcpp-upstream-release-mt-o2|vc6-sp6-target-runtime-md-o2|vc6-sp6-upstream-release-mt-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10009080,53,FUN_10009080,iswild,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
100090c0,212,FUN_100090c0,_ProcessDefer,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
100091a0,272,FUN_100091a0,_ValidateSecurity,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-rtm-upstream-release-mt-o2|vc6-sp5-target-runtime-md-o2|vc6-sp5-upstream-release-mt-o2|vc6-sp5-vcpp-target-runtime-md-o2|vc6-sp5-vcpp-upstream-release-mt-o2|vc6-sp6-target-runtime-md-o2|vc6-sp6-upstream-release-mt-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
100092b0,567,FUN_100092b0,_GetVolumeCaps,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-rtm-upstream-release-mt-o2|vc6-sp5-target-runtime-md-o2|vc6-sp5-upstream-release-mt-o2|vc6-sp5-vcpp-target-runtime-md-o2|vc6-sp5-vcpp-upstream-release-mt-o2|vc6-sp6-target-runtime-md-o2|vc6-sp6-upstream-release-mt-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
100094f0,163,FUN_100094f0,_Initialize,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-rtm-upstream-release-mt-o2|vc6-sp5-target-runtime-md-o2|vc6-sp5-upstream-release-mt-o2|vc6-sp5-vcpp-target-runtime-md-o2|vc6-sp5-vcpp-upstream-release-mt-o2|vc6-sp6-target-runtime-md-o2|vc6-sp6-upstream-release-mt-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
100095a0,235,FUN_100095a0,_GetRemotePrivilegesSet,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-rtm-upstream-release-mt-o2|vc6-sp5-target-runtime-md-o2|vc6-sp5-upstream-release-mt-o2|vc6-sp5-vcpp-target-runtime-md-o2|vc6-sp5-vcpp-upstream-release-mt-o2|vc6-sp6-target-runtime-md-o2|vc6-sp6-upstream-release-mt-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10009690,367,FUN_10009690,_SecuritySet,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10009800,241,FUN_10009800,_DeferSet,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-rtm-upstream-release-mt-o2|vc6-sp5-target-runtime-md-o2|vc6-sp5-upstream-release-mt-o2|vc6-sp5-vcpp-target-runtime-md-o2|vc6-sp5-vcpp-upstream-release-mt-o2|vc6-sp6-target-runtime-md-o2|vc6-sp6-upstream-release-mt-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10009900,229,FUN_10009900,_InitLocalPrivileges,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-rtm-upstream-release-mt-o2|vc6-sp5-target-runtime-md-o2|vc6-sp5-upstream-release-mt-o2|vc6-sp5-vcpp-target-runtime-md-o2|vc6-sp5-vcpp-upstream-release-mt-o2|vc6-sp6-target-runtime-md-o2|vc6-sp6-upstream-release-mt-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
100099f0,1251,FUN_100099f0,process_zipfiles,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10009ee0,125,FUN_10009ee0,free_G_buffers,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10009f60,2399,FUN_10009f60,do_seekable,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
1000a8c0,1052,FUN_1000a8c0,find_ecrec,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
1000ace0,127,FUN_1000ace0,uz_end_central,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
1000ad60,190,FUN_1000ad60,process_cdir_file_hdr,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
1000ae40,303,FUN_1000ae40,get_cdir_ent,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp5-vcpp-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
1000af70,279,FUN_1000af70,process_local_file_hdr,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp5-vcpp-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
1000b090,681,FUN_1000b090,ef_scan_for_izux,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
1000b340,148,FUN_1000b340,process_defer_NT,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
1000b400,31,FUN_1000b400,_IsWinNT,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-rtm-upstream-release-mt-o2|vc6-sp5-target-runtime-md-o2|vc6-sp5-upstream-release-mt-o2|vc6-sp5-vcpp-target-runtime-md-o2|vc6-sp5-vcpp-upstream-release-mt-o2|vc6-sp6-target-runtime-md-o2|vc6-sp6-upstream-release-mt-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
1000b420,510,FUN_1000b420,close_outfile,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
1000b620,279,FUN_1000b620,_EvalExtraFields,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
1000b740,236,FUN_1000b740,_SetSD,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
1000b830,279,FUN_1000b830,getNTfiletime,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
1000b950,37,FUN_1000b950,utime2FileTime,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-rtm-upstream-release-mt-o2|vc6-sp5-target-runtime-md-o2|vc6-sp5-upstream-release-mt-o2|vc6-sp5-vcpp-target-runtime-md-o2|vc6-sp5-vcpp-upstream-release-mt-o2|vc6-sp6-target-runtime-md-o2|vc6-sp6-upstream-release-mt-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
1000b980,35,FUN_1000b980,_FStampIsLocTime,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
1000b9b0,122,FUN_1000b9b0,_NTtzbugWorkaround,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp5-vcpp-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
1000ba30,255,FUN_1000ba30,_UTCtime2Localtime,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp5-vcpp-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
1000bb30,147,FUN_1000bb30,stamp_file,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
1000bbd0,443,FUN_1000bbd0,_NTQueryVolInfo,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp5-vcpp-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
1000bd90,1092,FUN_1000bd90,do_wild,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
1000c1e0,324,FUN_1000c1e0,_Opendir,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
1000c330,132,FUN_1000c330,_Readdir,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
1000c3c0,30,FUN_1000c3c0,_Closedir,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
